parent_1,parent_2,parent_3,leaf
Restaurants,-,-,Jewish
Food,-,-,Japanese Sweets
Food,-,-,Juice Bars & Smoothies
Local Services,-,-,Junk Removal & Hauling
Local Services,-,-,Junkyards
Japanese,Restaurants,-,Kaiseki
Nightlife,-,-,Karaoke
Party Equipment Rentals,Event Planning & Services,-,Karaoke Rental
Martial Arts,Fitness & Instruction,Active Life,Karate
Restaurants,-,-,Kebab
Martial Arts,Fitness & Instruction,Active Life,Kickboxing
Active Life,-,-,Kids Activities
Hair Salons,Beauty & Spas,-,Kids Hair Salons
Fashion,Shopping,-,Kimonos
Shopping,-,-,Kiosk
Home & Garden,Shopping,-,Kitchen & Bath
Real Estate,Home Services,-,Kitchen Incubators
Kitchen & Bath,Home & Garden,Shopping,Kitchen Supplies
Active Life,-,-,Kiteboarding
Local Services,-,-,Knife Sharpening
Shopping,-,-,Knitting Supplies
Food,-,-,Kombucha
Restaurants,-,-,Kopitiam
Restaurants,-,-,Korean
Restaurants,-,-,Kosher
Restaurants,-,-,Kurdish
Japanese,Restaurants,-,Kushikatsu
Diagnostic Services,Health & Medical,-,Laboratory Testing
Health & Medical,-,-,Lactation Services
Turkish,Restaurants,-,Lahmacun
Active Life,-,-,Lakes
Arts & Entertainment,-,-,LAN Centers
Public Services & Government,-,-,Landmarks & Historical Buildings
Home Services,-,-,Landscape Architects
Home Services,-,-,Landscaping
Real Estate Services,Real Estate,Home Services,Land Surveying
Specialty Schools,Education,-,Language Schools
Restaurants,-,-,Laos
Restaurants,-,-,Laotian
Hair Removal,Beauty & Spas,-,Laser Hair Removal
Health & Medical,-,-,Laser Eye Surgery/Lasik
Active Life,-,-,Laser Tag
Restaurants,-,-,Latin American
Laundry Services,Local Services,-,Laundromat
Local Services,-,-,Laundry Services
Active Life,-,-,Lawn Bowling
Landscaping,Home Services,-,Lawn Services
Professional Services,-,-,Lawyers
Fashion,Shopping,-,Leather Goods
Middle Eastern,Restaurants,-,Lebanese
Professional Services,-,-,Legal Services
Public Services & Government,-,-,Libraries
Health & Medical,-,-,Lice Services
Professional Services,-,-,Life Coach
Insurance,Financial Services,-,Life Insurance
Home Services,-,-,Lighting Fixtures & Equipment
Home & Garden,Shopping,-,Lighting Stores
Transportation,Hotels & Travel,-,Limos
Home & Garden,Shopping,-,Linens
Fashion,Shopping,-,Lingerie
Shopping,-,-,Livestock Feed & Supply
Pet Stores,Pets,-,Local Fish Stores
Home Services,-,-,Keys & Locksmiths
Bars,Nightlife,-,Lounges
Shopping,-,-,Luggage
Travel Services,Hotels & Travel,-,Luggage Storage
Italian,Restaurants,-,Lumbard
Restaurants,-,-,Lyonnais
Specialty Food,Food,-,Macarons
Local Services,-,-,Machine & Tool Rental
Local Services,-,-,Machine Shops
Portuguese,Restaurants,-,Madeira
Event Planning & Services,-,-,Magicians
"Books, Mags, Music & Video",Shopping,-,Newspapers & Magazines
Arts & Entertainment,-,-,Mah Jong Halls
Local Services,-,-,Mailbox Centers
Arts & Entertainment,-,-,Makerspaces
Beauty & Spas,-,-,Makeup Artists
Restaurants,-,-,Malaysian
Malaysian,Restaurants,-,Mamak
Arts & Entertainment,-,-,Marching Bands
Automotive,-,-,Marinas
Professional Services,-,-,Marketing
Specialty Food,Food,-,Fruits & Veggies
Shopping,-,-,Market Stalls
Fitness & Instruction,Active Life,-,Martial Arts
Home Services,-,-,Masonry/Concrete
Beauty & Spas,-,-,Massage
Specialty Schools,Education,-,Massage Schools
Health & Medical,-,-,Massage Therapy
Professional Services,-,-,Matchmakers
Home & Garden,Shopping,-,Materiale elettrico
Fashion,Shopping,-,Maternity Wear
Home & Garden,Shopping,-,Mattresses
French,Restaurants,-,Mauritius
Food,-,-,Meaderies
Restaurants,-,-,Meatballs
Specialty Food,Food,-,Meat Shops
Health & Medical,-,-,Medical Centers
Shopping,-,-,"Books, Mags, Music & Video"
Professional Services,-,-,Mediators
Health & Medical,-,-,Medical Foot Care
Lawyers,Professional Services,-,Medical Law
Beauty & Spas,-,-,Medical Spas
Shopping,-,-,Medical Supplies
Health & Medical,-,-,Medical Transportation
Fitness & Instruction,Active Life,-,Meditation Centers
Restaurants,-,-,Mediterranean
Health & Medical,-,-,Memory Care
Fashion,Shopping,-,Men's Clothing
Hair Salons,Beauty & Spas,-,Men's Hair Salons
Local Services,-,-,Metal Fabricators
Transportation,Hotels & Travel,-,Metro Stations
Restaurants,-,-,Mexican
Restaurants,-,-,Middle Eastern
Health & Medical,-,-,Midwives
Shopping,-,-,Military Surplus
Restaurants,-,-,Milk Bars
Food,-,-,Milkshake Bars
Portuguese,Restaurants,-,Minho
Active Life,-,-,Mini Golf
Local Services,-,-,Misting System Services
Home Services,-,-,Mobile Home Repair
Automotive,-,-,Mobile Dent Repair
Real Estate,Home Services,-,Mobile Home Dealers
Real Estate,Home Services,-,Mobile Home Parks
IT Services & Computer Repair,Local Services,-,Mobile Phone Repair
Shopping,-,-,Mobile Phones
Automotive,-,-,Mobility Equipment Sales & Services
Restaurants,-,-,Modern Australian
Restaurants,-,-,Modern European
Event Planning & Services,-,-,Mohels
Restaurants,-,-,Mongolian
Education,-,-,Montessori Schools
Restaurants,-,-,Moroccan
Real Estate,Home Services,-,Mortgage Brokers
Financial Services,-,-,Mortgage Lenders
Funeral Services & Cemeteries,Local Services,-,Mortuary Services
Religious Organizations,-,-,Mosques
Automotive,-,-,Motorsport Vehicle Dealers
Hotels & Travel,-,-,Motorcycle Rental
Automotive,-,-,Motorcycle Dealers
Auto Parts & Supplies,Automotive,-,Motorcycle Parts & Supplies
Automotive,-,-,Motorcycle Repair
Shopping,-,-,Motorcycle Gear
Automotive,-,-,Motorsport Vehicle Repairs
Active Life,-,-,Mountain Biking
Hotels,Event Planning & Services,-,Mountain Huts
Home Services,-,-,Movers
Arts & Entertainment,-,-,Cinema
Martial Arts,Fitness & Instruction,Active Life,Muay Thai
Public Services & Government,-,-,Municipality
Arts & Entertainment,-,-,Museums
Shopping,-,-,Musical Instruments & Teachers
Event Planning & Services,-,-,Musicians
Local Services,-,-,Musical Instrument Services
Professional Services,-,-,Music Production Services
Nightlife,-,-,Music Venues
"Books, Mags, Music & Video",Shopping,-,Music & DVDs
Supernatural Readings,Arts & Entertainment,-,Mystics
Nail Salons,Beauty & Spas,-,Nail Technicians
Local Services,-,-,Nanny Services
Italian,Restaurants,-,Napoletana
Food,-,-,Nasi Lemak
Utilities,Home Services,-,Natural Gas Suppliers
Doctors,Health & Medical,-,Naturopathic/Holistic
Doctors,Health & Medical,-,Nephrologists
Doctors,Health & Medical,-,Neurologist
Doctors,Health & Medical,-,Neuropathologists
Doctors,Health & Medical,-,Neurotologists
Restaurants,-,-,American (New)
Restaurants,-,-,Canadian (New)
Restaurants,-,-,New Mexican Cuisine
Restaurants,-,-,New Zealand
Restaurants,-,-,Nicaraguan
French,Restaurants,-,Nicoise
Restaurants,-,-,Night Food
Restaurants,-,-,Nikkei
Local Services,-,-,Community Service/Non-Profit
Restaurants,-,-,Noodles
Restaurants,-,-,Norcinerie
Brazilian,Restaurants,-,Northeastern Brazilian
Brazilian,Restaurants,-,Northern Brazilian
German,Restaurants,-,Northern German
Mexican,Restaurants,-,Northern Mexican
Restaurants,-,-,Traditional Norwegian
Local Services,-,-,Notaries
Active Life,-,-,Nudist
Health & Medical,-,-,Nurse Practitioner
Specialty Schools,Education,-,Nursing Schools
Health & Medical,-,-,Nutritionists
Malaysian,Restaurants,-,Nyonya
Mexican,Restaurants,-,Oaxacan
Doctors,Health & Medical,-,Obstetricians & Gynecologists
Arts & Entertainment,-,-,Observatories
Health & Medical,-,-,Occupational Therapy
Japanese,Restaurants,-,Oden
Professional Services,-,-,Office Cleaning
Shopping,-,-,Office Equipment
Event Planning & Services,-,-,Officiants
Automotive,-,-,Oil Change Stations
Japanese,Restaurants,-,Okinawan
Japanese,Restaurants,-,Okonomiyaki
Specialty Food,Food,-,Olive Oil
Doctors,Health & Medical,-,Oncologist
Japanese,Restaurants,-,Onigiri
Restaurants,-,-,Open Sandwiches
Arts & Entertainment,-,-,Opera & Ballet
Doctors,Health & Medical,-,Ophthalmologists
Shopping,-,-,Eyewear & Opticians
Health & Medical,-,-,Optometrists
Dentists,Health & Medical,-,Oral Surgeons
Health & Medical,-,-,Organ & Tissue Donor Services
Food,-,-,Organic Stores
Restaurants,-,-,Oriental
Dentists,Health & Medical,-,Orthodontists
Doctors,Health & Medical,-,Orthopedists
Health & Medical,-,-,Orthotics
Doctors,Health & Medical,-,Osteopathic Physicians
Medical Centers,Health & Medical,-,Osteopaths
Beauty & Spas,-,-,Nail Salons
Doctors,Health & Medical,-,Otologists
Turkish,Restaurants,-,Ottoman Cuisine
Home & Garden,Shopping,-,Outdoor Furniture Stores
Sporting Goods,Shopping,-,Outdoor Gear
Cinema,Arts & Entertainment,-,Outdoor Movies
Local Services,-,-,Outdoor Power Equipment Services
Shopping,-,-,Outlet Stores
Health & Medical,-,-,Oxygen Bars
Donburi,Japanese,Restaurants,Oyakodon
Arts & Entertainment,-,-,Pachinko
Home Services,-,-,Packing Services
Shopping,-,-,Packing Supplies
Active Life,-,-,Paddleboarding
Doctors,Health & Medical,-,Pain Management
Arts & Entertainment,-,-,Paint & Sip
Active Life,-,-,Paintball
Home Services,-,-,Painters
Home & Garden,Shopping,-,Paint Stores
Arts & Crafts,Shopping,-,Paint-Your-Own Pottery
Restaurants,-,-,Pakistani
German,Restaurants,-,Palatine
Restaurants,-,-,Pan Asian
Breakfast & Brunch,Restaurants,-,Pancakes
Food,-,-,Panzerotti
Active Life,-,-,Paragliding
Active Life,-,-,Parasailing
Specialty Schools,Education,-,Parenting Classes
Automotive,-,-,Parking
Local Flavor,-,-,Parklets
Active Life,-,-,Parks
Restaurants,-,-,Parma
Event Planning & Services,-,-,Party Bike Rentals
Event Planning & Services,-,-,Party Bus Rentals
Event Planning & Services,-,-,Party Characters
Event Planning & Services,-,-,Party Equipment Rentals
Event Planning & Services,-,-,Party Supplies
Travel Services,Hotels & Travel,-,Passport & Visa Services
Specialty Food,Food,-,Pasta Shops
Professional Services,-,-,Patent Law
Doctors,Health & Medical,-,Pathologists
Home Services,-,-,Patio Coverings
Shopping,-,-,Pawn Shops
Financial Services,-,-,Check Cashing/Pay-day Loans
Professional Services,-,-,Payroll Services
Dentists,Health & Medical,-,Pediatric Dentists
Doctors,Health & Medical,-,Pediatricians
Transportation,Hotels & Travel,-,Pedicabs
Hotels,Event Planning & Services,-,Pensions
Beauty & Spas,-,-,Perfume
Dentists,Health & Medical,-,Periodontists
Beauty & Spas,-,-,Permanent Makeup
Restaurants,-,-,Persian/Iranian
Lawyers,Professional Services,-,Personal Injury Law
Shopping,-,-,Personal Shopping
Professional Services,-,-,Personal Assistants
Health & Medical,-,-,Personal Care Services
Event Planning & Services,-,-,Personal Chefs
Restaurants,-,-,Peruvian
Local Services,-,-,Pest Control
Pet Services,Pets,-,Pet Sitting
Pet Services,Pets,-,Pet Training
Pets,-,-,Pet Adoption
Pet Sitting,Pet Services,Pets,Pet Boarding
Pet Services,Pets,-,Pet Breeders
Pet Services,Pets,-,Pet Cremation Services
Pet Services,Pets,-,Pet Hospice
Pet Services,Pets,-,Pet Insurance
Pet Services,Pets,-,Pet Photography
Pets,-,-,Pet Services
Pets,-,-,Pet Stores
Zoos,Active Life,-,Petting Zoos
Pet Services,Pets,-,Pet Transportation
Pet Services,Pets,-,Pet Waste Removal
Restaurants,-,-,PF/Comercial
Health & Medical,-,-,Pharmacy
Doctors,Health & Medical,-,Phlebologists
Event Planning & Services,-,-,Photo Booth Rentals
Specialty Schools,Education,-,Photography Classes
Event Planning & Services,-,-,Photographers
Shopping,-,-,Photography Stores & Services
Health & Medical,-,-,Physical Therapy
Health & Medical,-,-,Doctors
Nightlife,-,-,Piano Bars
Musical Instrument Services,Local Services,-,Piano Services
Musical Instrument Services,Local Services,-,Piano Stores
Active Life,-,-,Pickleball
Farms,Arts & Entertainment,-,Pick Your Own Farms
Italian,Restaurants,-,Piemonte
Beauty & Spas,-,-,Piercing
Polish,Restaurants,-,Pierogis
Fitness & Instruction,Active Life,-,Pilates
Restaurants,-,-,Pita
Restaurants,-,-,Pizza
Health & Medical,-,-,Placenta Encapsulations
Arts & Entertainment,-,-,Planetarium
Doctors,Health & Medical,-,Plastic Surgeons
Active Life,-,-,Playgrounds
Home & Garden,Shopping,-,Playsets
Home Services,-,-,Plumbing
Fashion,Shopping,-,Plus Size Fashion
Doctors,Health & Medical,-,Podiatrists
Food,-,-,Poke
Specialty Schools,Education,-,Pole Dancing Classes
Public Services & Government,-,-,Police Departments
Restaurants,-,-,Polish
Restaurants,-,-,Polynesian
Shopping,-,-,Pool & Billiards
Home Services,-,-,Pool Cleaners
Nightlife,-,-,Pool Halls
Home Services,-,-,Pool & Hot Tub Service
Specialty Food,Food,-,Popcorn Shops
Restaurants,-,-,Pop-Up Restaurants
Shopping,-,-,Pop-up Shops
Local Services,-,-,Portable Toilet Services
Restaurants,-,-,Portuguese
Public Services & Government,-,-,Post Offices
Health & Medical,-,-,Postpartum Care
Restaurants,-,-,Potatoes
Restaurants,-,-,Poutineries
Local Services,-,-,Powder Coating
Health & Medical,-,-,Prenatal/Perinatal Care
Education,-,-,Preschools
Home Services,-,-,Pressure Washers
Food,-,-,Pretzels
Doctors,Health & Medical,-,Preventive Medicine
Mass Media,-,-,Print Media
Professional Services,-,-,Private Investigation
Transportation,Hotels & Travel,-,Private Jet Charter
Education,-,-,Private Schools
Education,-,-,Private Tutors
Legal Services,Professional Services,-,Process Servers
Doctors,Health & Medical,-,Proctologists
Professional Services,-,-,Product Design
Local Services,-,-,Propane
Real Estate,Home Services,-,Property Management
Shopping,-,-,Props
Health & Medical,-,-,Prosthetics
Health & Medical,-,-,Prosthodontists
French,Restaurants,-,Provencal
Doctors,Health & Medical,-,Psychiatrists
Arts & Entertainment,-,-,Supernatural Readings
Supernatural Readings,Arts & Entertainment,-,Psychic Mediums
Supernatural Readings,Arts & Entertainment,-,Psychics
Counseling & Mental Health,Health & Medical,-,Psychoanalysts
Counseling & Mental Health,Health & Medical,-,Psychologists
Health & Medical,-,-,Psychotechnical Tests
Counseling & Mental Health,Health & Medical,-,Psychotherapists
Restaurants,-,-,Pub Food
Professional Services,-,-,Public Adjusters
Local Flavor,-,-,Public Art
Shopping,-,-,Public Markets
Active Life,-,-,Public Plazas
Professional Services,-,-,Public Relations
-,-,-,Public Services & Government
Transportation,Hotels & Travel,-,Public Transportation
Bars,Nightlife,-,Pubs
Mexican,Restaurants,-,Pueblan
Caribbean,Restaurants,-,Puerto Rican
Doctors,Health & Medical,-,Pulmonologist
Bars,Nightlife,-,Pulquerias
Home & Garden,Shopping,-,Pumpkin Patches
Fitness & Instruction,Active Life,-,Qi Gong
Active Life,-,-,Races & Competitions
Arts & Entertainment,-,-,Race Tracks
Active Life,-,-,Racing Experience
Doctors,Health & Medical,-,Radiologists
Mass Media,-,-,Radio Stations
Active Life,-,-,Rafting/Kayaking
Japanese,Restaurants,-,Ramen
Farms,Arts & Entertainment,-,Ranches
Restaurants,-,-,Live/Raw Food
Home Services,-,-,Real Estate
Real Estate,Home Services,-,Real Estate Agents
Lawyers,Professional Services,-,Real Estate Law
Real Estate,Home Services,-,Real Estate Services
Local Services,-,-,Record Labels
Local Services,-,-,Recording & Rehearsal Studios
Active Life,-,-,Recreation Centers
Local Services,-,-,Recycling Center
Home Services,-,-,Refinishing Services
Health & Medical,-,-,Reflexology
Automotive,-,-,Registration Services
Public Services & Government,-,-,Registry Office
Health & Medical,-,-,Rehabilitation Center
Health & Medical,-,-,Reiki
Shopping,-,-,Religious Items
-,-,-,Religious Organizations
Education,-,-,Religious Schools
Local Services,-,-,Furniture Rental
Health & Medical,-,-,Reproductive Health Services
Pet Stores,Pets,-,Reptile Shops
Hotels,Event Planning & Services,-,Residences
Hotels & Travel,-,-,Resorts
Hotels,Event Planning & Services,-,Rest Stops
Ophthalmologists,Doctors,Health & Medical,Retina Specialists
Health & Medical,-,-,Retirement Homes
French,Restaurants,-,Reunion
Local Services,-,-,Furniture Reupholstery
Doctors,Health & Medical,-,Rheumatologists
German,Restaurants,-,Rhinelandian
Portuguese,Restaurants,-,Ribatejo
Restaurants,-,-,Rice
Automotive,-,-,Roadside Assistance
Japanese,Restaurants,-,Robatayaki
Active Life,-,-,Rock Climbing
Arts & Entertainment,-,-,Rodeo
Brazilian,Restaurants,-,Rodizios
Italian,Restaurants,-,Roman
Restaurants,-,-,Romanian
Home Services,-,-,Roofing
Home Services,-,-,Roof Inspectors
Restaurants,-,-,Rotisserie Chicken
Home & Garden,Shopping,-,Rugs
Restaurants,-,-,Russian
Automotive,-,-,RV Dealers
Hotels & Travel,-,-,RV Parks
Hotels & Travel,-,-,RV Rental
Automotive,-,-,RV Repair
Hotels,Event Planning & Services,-,Ryokan
Shopping,-,-,Safe Stores
Shopping,-,-,Safety Equipment
Active Life,-,-,Sailing
Bars,Nightlife,-,Sake Bars
Restaurants,-,-,Salad
Food,-,-,Salumerie
Latin American,Restaurants,-,Salvadoran
Specialty Schools,Education,-,Samba Schools
Local Services,-,-,Sandblasting
Restaurants,-,-,Sandwiches
Italian,Restaurants,-,Sardinian
Home Services,-,-,Sauna Installation & Repair
Health & Medical,-,-,Saunas
Restaurants,-,-,Scandinavian
Shopping,-,-,Scandinavian Design
Active Life,-,-,Scavenger Hunts
Restaurants,-,-,Schnitzel
Active Life,-,-,Scooter Rentals
Tours,Hotels & Travel,-,Scooter Tours
Restaurants,-,-,Scottish
Local Services,-,-,Screen Printing/T-Shirt Printing
Local Services,-,-,Screen Printing
Diving,Active Life,-,Scuba Diving
Restaurants,-,-,Seafood
Specialty Food,Food,-,Seafood Markets
Home Services,-,-,Holiday Decorating Services
Professional Services,-,-,Security Services
Home Services,-,-,Security Systems
Fitness & Instruction,Active Life,-,Self-defense Classes
Local Services,-,-,Self Storage
African,Restaurants,-,Senegalese
Active Life,-,-,Senior Centers
Local Services,-,-,Septic Services
Restaurants,-,-,Serbo Croatian
Automotive,-,-,Service Stations
Automotive,-,-,Gas Stations
Photographers,Event Planning & Services,-,Session Photography
Local Services,-,-,Sewing & Alterations
Counseling & Mental Health,Health & Medical,-,Sex Therapists
Chinese,Restaurants,-,Shanghainese
Real Estate,Home Services,-,Shared Office Spaces
Transportation,Hotels & Travel,-,Shared Taxis
Food,-,-,Shaved Ice
Food,-,-,Shaved Snow
Home & Garden,Shopping,-,Sheds & Outdoor Storage
Local Services,-,-,Shipping Centers
Local Services,-,-,Shoe Repair
Fashion,Shopping,-,Shoe Stores
Local Services,-,-,Shoe Shine
Shopping,-,-,Shopping Centers
Shopping,-,-,Shopping Passages
Professional Services,-,-,Shredding Services
Religious Organizations,-,-,Shrines
Home Services,-,-,Shutters
Italian,Restaurants,-,Sicilian
Restaurants,-,-,Signature Cuisine
Professional Services,-,-,Signmaking
Religious Organizations,-,-,Sikh Temples
Event Planning & Services,-,-,Silent Disco
Restaurants,-,-,Singaporean
Parks,Active Life,-,Skate Parks
Sporting Goods,Shopping,-,Skate Shops
Active Life,-,-,Skating Rinks
Active Life,-,-,Skiing
Health & Medical,-,-,Skilled Nursing
Beauty & Spas,-,-,Skin Care
Hotels & Travel,-,-,Ski Resorts
Specialty Schools,Education,-,Ski Schools
Sporting Goods,Shopping,-,Ski & Snowboard Shops
Active Life,-,-,Skydiving
Active Life,-,-,Sledding
Health & Medical,-,-,Sleep Specialists
Fashion,Shopping,-,Sleepwear
Restaurants,-,-,Slovakian
Automotive,-,-,Smog Check Stations
Food,-,-,Smokehouse
Local Services,-,-,Smoking Areas
Active Life,-,-,Snorkeling
Local Services,-,-,Snow Removal
Local Services,-,-,Snuggle Services
Japanese,Restaurants,-,Soba
Arts & Entertainment,-,-,Social Clubs
Lawyers,Professional Services,-,Social Security Law
Professional Services,-,-,Software Development
Home Services,-,-,Solar Installation
Home Services,-,-,Solar Panel Cleaning
Restaurants,-,-,Somali
Event Planning & Services,-,-,Sommelier Services
Counseling & Mental Health,Health & Medical,-,Sophrologists
Restaurants,-,-,Soul Food
Restaurants,-,-,Soup
African,Restaurants,-,South African
Restaurants,-,-,Southern
Shopping,-,-,Souvenir Shops
Restaurants,-,-,Spanish
Beauty & Spas,-,-,Day Spas
Bars,Nightlife,-,Speakeasies
Bicycles,-,-,Special Bikes
Education,-,-,Special Education
Education,-,-,Specialty Schools
Health & Medical,-,-,Speech Therapists
Specialty Schools,Education,-,Speech Training
Health & Medical,-,-,Sperm Clinic
Doctors,Health & Medical,-,Spine Surgeons
Religious Organizations,-,-,Spiritism
Shopping,-,-,Spiritual Shop
Active Life,-,-,Sport Equipment Hire
Shopping,-,-,Sporting Goods
Active Life,-,-,Sports Clubs
Bars,Nightlife,-,Sports Bars
Arts & Entertainment,-,-,Sports Betting
Doctors,Health & Medical,-,Sports Medicine
Counseling & Mental Health,Health & Medical,-,Sports Psychologists
Arts & Entertainment,-,-,Professional Sports Teams
Sporting Goods,Shopping,-,Sports Wear
Tanning,Beauty & Spas,-,Spray Tanning
Active Life,-,-,Squash
Restaurants,-,-,Sri Lankan
Arts & Entertainment,-,-,Stadiums & Arenas
Flowers & Gifts,Shopping,-,Cards & Stationery
Restaurants,-,-,Steakhouses
Automotive,-,-,Car Stereo Installation
Fashion,Shopping,-,Stockings
Local Services,-,-,Stonemasons
Arts & Entertainment,-,-,Street Art
Food,-,-,Street Vendors
Adult Entertainment,Nightlife,-,Strip Clubs
Home Services,-,-,Structural Engineers
Home Services,-,-,Stucco Services
Arts & Entertainment,-,-,Studio Taping
Restaurants,-,-,French Southwest
Hair Removal,Beauty & Spas,-,Sugaring
Food,-,-,Sugar Shacks
Japanese,Restaurants,-,Sukiyaki
Active Life,-,-,Summer Camps
Eyewear & Opticians,Shopping,-,Sunglasses
Restaurants,-,-,Supper Clubs
Wholesalers,Professional Services,-,Restaurant Supplies
Active Life,-,-,Surfing
Active Life,-,-,Surf Lifesaving
Specialty Schools,Education,-,Surf Schools
Fashion,Shopping,-,Surf Shop
Doctors,Health & Medical,-,Surgeons
Restaurants,-,-,Sushi Bars
Restaurants,-,-,Swabian
Restaurants,-,-,Swedish
Specialty Schools,Education,-,Swimming Lessons/Schools
Active Life,-,-,Swimming Pools
Fashion,Shopping,-,Swimwear
Restaurants,-,-,Swiss Food
Religious Organizations,-,-,Synagogues
Restaurants,-,-,Syrian
Chinese,Restaurants,-,Szechuan
Bars,Nightlife,-,Tabac
Restaurants,-,-,Tabernas
Arts & Entertainment,-,-,Tablao Flamenco
Shopping,-,-,Tabletop Games
Home & Garden,Shopping,-,Tableware
Mexican,Restaurants,-,Tacos
Martial Arts,Fitness & Instruction,Active Life,Taekwondo
Fitness & Instruction,Active Life,-,Tai Chi
Restaurants,-,-,Taiwanese
Japanese Sweets,Food,-,Taiyaki
Japanese,Restaurants,-,Takoyaki
Professional Services,-,-,Talent Agencies
Mexican,Restaurants,-,Tamales
Beauty & Spas,-,-,Tanning
Tanning,Beauty & Spas,-,Tanning Beds
Religious Organizations,-,-,Taoist Temples
Restaurants,-,-,Tapas Bars
Restaurants,-,-,Tapas/Small Plates
Education,-,-,Tasting Classes
Beauty & Spas,-,-,Tattoo
Doctors,Health & Medical,-,Tattoo Removal
Restaurants,-,-,Tavola Calda
Professional Services,-,-,Taxidermy
Transportation,Hotels & Travel,-,Taxis
Lawyers,Professional Services,-,Tax Law
Public Services & Government,-,-,Tax Office
Financial Services,-,-,Tax Services
Health & Medical,-,-,Traditional Chinese Medicine
Food,-,-,Tea Rooms
Shopping,-,-,Teacher Supplies
Event Planning & Services,-,-,Team Building Activities
Beauty & Spas,-,-,Teeth Whitening
IT Services & Computer Repair,Local Services,-,Telecommunications
Home Services,-,-,Television Service Providers
Mass Media,-,-,Television Stations
Japanese,Restaurants,-,Tempura
Professional Services,-,-,Tenant and Eviction Law
Active Life,-,-,Tennis
Chinese,Restaurants,-,Teochew
Japanese,Restaurants,-,Teppanyaki
Education,-,-,Test Preparation
Restaurants,-,-,Tex-Mex
Restaurants,-,-,Thai
Arts & Entertainment,-,-,Performing Arts
Cafes,Restaurants,-,Themed Cafes
Hair Removal,Beauty & Spas,-,Threading Services
Shopping,-,-,Thrift Stores
Shopping,-,-,Tickets
Bars,Nightlife,-,Tiki Bars
Home Services,-,-,Tiling
Automotive,-,-,Tires
Financial Services,-,-,Title Loans
Shopping,-,-,Tobacco Shops
Specialty Food,Food,-,Tofu Shops
Japanese,Restaurants,-,Tonkatsu
Food,-,-,Torshi
Food,-,-,Tortillas
Hotels & Travel,-,-,Tours
Automotive,-,-,Towing
Transportation,Hotels & Travel,-,Town Car Service
Public Services & Government,-,-,Town Hall
Doctors,Health & Medical,-,Toxicologists
Shopping,-,-,Toy Stores
Restaurants,-,-,American (Traditional)
Fashion,Shopping,-,Traditional Clothing
Festivals,Arts & Entertainment,-,Trade Fairs
Restaurants,-,-,Traditional Swedish
Specialty Schools,Education,-,Traffic Schools
Lawyers,Professional Services,-,Traffic Ticketing Law
Automotive,-,-,Trailer Dealers
Automotive,-,-,Trailer Rental
Automotive,-,-,Trailer Repair
Transportation,Hotels & Travel,-,Trains
Hotels & Travel,-,-,Train Stations
Active Life,-,-,Trampoline Parks
Professional Services,-,-,Translation Services
Automotive,-,-,Transmission Repair
Hotels & Travel,-,-,Transportation
Portuguese,Restaurants,-,Tras-os-Montes
Restaurants,-,-,Trattorie
Travel Services,Hotels & Travel,-,Travel Agents
Hotels & Travel,-,-,Travel Services
Home Services,-,-,Tree Services
Caribbean,Restaurants,-,Trinidadian
Event Planning & Services,-,-,Trivia Hosts
Shopping,-,-,Trophy Shops
Doctors,Health & Medical,-,Tropical Medicine
Automotive,-,-,Truck Rental
Automotive,-,-,Commercial Truck Dealers
Automotive,-,-,Commercial Truck Repair
Active Life,-,-,Tubing
Traditional Chinese Medicine,Health & Medical,-,Tui Na
Restaurants,-,-,Turkish
Turkish,Restaurants,-,Turkish Ravioli
Italian,Restaurants,-,Tuscan
Education,-,-,Tutoring Centers
Local Services,-,-,TV Mounting
Japanese,Restaurants,-,Udon
Restaurants,-,-,Ukrainian
Health & Medical,-,-,Ultrasound Imaging Centers
Japanese,Restaurants,-,Unagi
Doctors,Health & Medical,-,Undersea/Hyperbaric Medicine
Shopping,-,-,Uniforms
Real Estate,Home Services,-,University Housing
Local Flavor,-,-,Unofficial Yelp Events
Health & Medical,-,-,Urgent Care
Doctors,Health & Medical,-,Urologists
Shopping,-,-,Used Bookstore
Automotive,-,-,Used Car Dealers
Home Services,-,-,Utilities
Restaurants,-,-,Uzbek
Hotels & Travel,-,-,Vacation Rentals
Hotels & Travel,-,-,Vacation Rental Agents
Event Planning & Services,-,-,Valet Services
Shopping,-,-,Vape Shops
Doctors,Health & Medical,-,Vascular Medicine
Restaurants,-,-,Vegan
Restaurants,-,-,Vegetarian
Automotive,-,-,Vehicle Shipping
Automotive,-,-,Vehicle Wraps
Italian,Restaurants,-,Venetian
Latin American,Restaurants,-,Venezuelan
Restaurants,-,-,Venison
Event Planning & Services,-,-,Venues & Event Spaces
Bars,Nightlife,-,Vermouth Bars
Pets,-,-,Veterinarians
Social Clubs,Arts & Entertainment,-,Veterans Organizations
Professional Services,-,-,Video/Film Production
"Books, Mags, Music & Video",Shopping,-,Video Game Stores
Event Planning & Services,-,-,Videographers
Restaurants,-,-,Vietnamese
Fashion,Shopping,-,"Used, Vintage & Consignment"
"Books, Mags, Music & Video",Shopping,-,Vinyl Records
Home Services,-,-,Siding
Arts & Entertainment,-,-,Virtual Reality Centers
Travel Services,Hotels & Travel,-,Visitor Centers
Shopping,-,-,Vitamins & Supplements
Musical Instrument Services,Local Services,-,Vocal Coach
