parent_1,parent_2,parent_3,leaf
Active Life,-,-,Bobsledding
Active Life,-,-,Bocce Ball
Health & Medical,-,-,Body Contouring
Automotive,-,-,Body Shops
Local Services,-,-,Bookbinding
Professional Services,-,-,Bookkeepers
"Books, Mags, Music & Video",Shopping,-,Bookstores
Fitness & Instruction,Active Life,-,Boot Camps
Photographers,Event Planning & Services,-,Boudoir Photography
Party Equipment Rentals,Event Planning & Services,-,Bounce House Rentals
French,Restaurants,-,Bourguignon
Active Life,-,-,Bowling
Fitness & Instruction,Active Life,-,Boxing
Restaurants,-,-,Brasseries
Restaurants,-,-,Brazilian
Brazilian,Restaurants,-,Brazilian Empanadas
Martial Arts,Fitness & Instruction,Active Life,Brazilian Jiu-jitsu
Restaurants,-,-,Breakfast & Brunch
Food,-,-,Breweries
Shopping,-,-,Brewing Supplies
Breweries,Food,-,Brewpubs
Shopping,-,-,Bridal
Restaurants,-,-,British
Active Life,-,-,Bubble Soccer
Food,-,-,Bubble Tea
Religious Organizations,-,-,Buddhist Temples
Restaurants,-,-,Buffets
Home Services,-,-,Building Supplies
Restaurants,-,-,Bulgarian
Medical Centers,Health & Medical,-,Bulk Billing
Active Life,-,-,Bungee Jumping
Restaurants,-,-,Burgers
Restaurants,-,-,Burmese
Transportation,Hotels & Travel,-,Buses
Professional Services,-,-,Business Consulting
Financial Services,-,-,Business Financing
Lawyers,Professional Services,-,Business Law
Local Services,-,-,Bus Rental
Transportation,Hotels & Travel,-,Bus Stations
Tours,Hotels & Travel,-,Bus Tours
Food,-,-,Butcher
Health & Medical,-,-,Counseling & Mental Health
Arts & Entertainment,-,-,Cabaret
Home Services,-,-,Cabinetry
Transportation,Hotels & Travel,-,Cable Cars
Restaurants,-,-,Cafes
Restaurants,-,-,Cafeteria
Restaurants,-,-,Cajun/Creole
Food,-,-,Patisserie/Cake Shop
Italian,Restaurants,-,Calabrian
Local Services,-,-,Calligraphy
Restaurants,-,-,Cambodian
Hotels & Travel,-,-,Campgrounds
Home & Garden,Shopping,-,Candle Stores
Specialty Food,Food,-,Candy Stores
Health & Medical,-,-,Cannabis Clinics
Health & Medical,-,-,Cannabis Collective
Shopping,-,-,Cannabis Dispensaries
Health & Medical,-,-,Medical Cannabis Referrals
Cannabis Clinics,Health & Medical,-,Cannabis Tours
Restaurants,-,-,Canteen
Chinese,Restaurants,-,Cantonese
Active Life,-,-,Canyoneering
Automotive,-,-,Car Dealers
Automotive,-,-,Car Auctions
Automotive,-,-,Car Brokers
Automotive,-,-,Car Buyers
Fitness & Instruction,Active Life,-,Cardio Classes
Doctors,Health & Medical,-,Cardiologists
Professional Services,-,-,Career Counseling
Restaurants,-,-,Caribbean
Event Planning & Services,-,-,Caricatures
Active Life,-,-,Carousels
Home Services,-,-,Carpenters
Local Services,-,-,Carpet Cleaning
Local Services,-,-,Carpet Dyeing
Home Services,-,-,Carpeting
Home Services,-,-,Carpet Installation
Hotels & Travel,-,-,Car Rental
Automotive,-,-,Car Share Services
Automotive,-,-,Car Wash
Auto Glass Services,Automotive,-,Car Window Tinting
Arts & Entertainment,-,-,Casinos
Arts & Entertainment,-,-,Castles
Restaurants,-,-,Catalan
Event Planning & Services,-,-,Caterers
Shopping,-,-,Mobile Phone Accessories
Brazilian,Restaurants,-,Central Brazilian
Fashion,Shopping,-,Ceremonial Clothing
Active Life,-,-,Challenge Courses
Bars,Nightlife,-,Champagne Bars
Turkish,Restaurants,-,Chee Kufta
Specialty Schools,Education,-,Cheerleading
Specialty Food,Food,-,Cheese Shops
Restaurants,-,-,Cheesesteaks
Tasting Classes,Education,-,Cheese Tasting Classes
Restaurants,-,-,Chicken Wings
Restaurants,-,-,Chicken Shop
Local Services,-,-,Child Care & Day Care
Fashion,Shopping,-,Children's Clothing
Home Services,-,-,Childproofing
Museums,Arts & Entertainment,-,Children's Museums
Restaurants,-,-,Chilean
Food,-,-,Chimney Cakes
Home Services,-,-,Chimney Sweeps
Restaurants,-,-,Chinese
Shopping,-,-,Chinese Bazaar
Martial Arts,Fitness & Instruction,Active Life,Chinese Martial Arts
Health & Medical,-,-,Chiropractors
Specialty Food,Food,-,Chocolatiers & Shops
Arts & Entertainment,-,-,Choirs
Home & Garden,Shopping,-,Christmas Trees
Religious Organizations,-,-,Churches
Food,-,-,Churros
Food,-,-,Cideries
Bars,Nightlife,-,Cigar Bars
Gyms,Fitness & Instruction,Active Life,Circuit Training Gyms
Specialty Schools,Education,-,Circus Schools
Public Services & Government,-,-,Civic Center
Active Life,-,-,Climbing
